,newdata.user_id,newdata.created_at,newdata.screen_name,newdata.text,newdata.source,newdata.display_text_width,newdata.reply_to_status_id,newdata.reply_to_user_id,newdata.reply_to_screen_name,newdata.is_quote,newdata.is_retweet,newdata.favorite_count,newdata.quote_count,newdata.reply_count,newdata.location,score
918,1100418183926889984,2022-06-12 20:54:40,mr_monday101,ANDREWLAWTON PEOPLE THINK MSM ESPECIALLY CBCNEWS ONLY REPORTS ON THE TRUTHFUL NEWS WHEN ITS MORE IDEOLOGICAL BASED NEWS GIVING TRACTION 2 CERTAIN STORIES OR BURY THE STORY ALTOGETHER UP PLAYDOWN PLAY EVENTS PRAISINGVILIFING CERTAIN PEOPLE ADJUSTING THE STORY 2 SUIT A NARRATIVE,Twitter for iPhone,140,,,,False,True,0,,,"Toronto, Canada <U+0001F1E8><U+0001F1E6>",positiva
919,151721378,2022-06-12 20:53:58,Oldrd_,GREAT NEWS AND ITS ABOUT TIME IVE ALWAYS SAID THIS SERIES DESERVES MORE LOVE AND MORE PPL TO EXPERIENCE IT GG ATLUS GREAT DECISION HOPE WE SEE THE SWITCH PORT ANNOUNCEMENT SOON AS WELL,Twitter Web App,194,,,,True,False,1,,,Shadow Moses Island,positiva
920,947992086,2022-06-12 20:53:22,KeithAlexRowe,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter for Android,139,,,,False,True,0,,,Birmingham,positiva
921,1368898372921260032,2022-06-12 20:53:19,LORDSWatchman1,LYING REPORTS AND JOURNALISTS AND ENTERTAINMENT NEWS WOULD HAVE THE WORLD BELIEVE WHICH BY THE WAY SUCH FALSE LYING GOSSIP AND RUMORS ARE NOT JOURNALISM NEWS OR REPORTING THEYRE MERELY ON A SMEAR CAMPAIGN TO ONCE AGAIN TRY TO END AND STOP DIRECTOR ZACK SNYDERS DCEU,Twitter for Android,278,1.53608928236378e+18,1.36889837292126e+18,LORDSWatchman1,False,False,0,,,,negativa
922,1254267604086159872,2022-06-12 20:52:43,neneaiancu84,PARTNERSHIP ANNOUNCEMENT WELCOME CRYPTOCASTLEANN HAS JOINED US AS A MEDIA PARTNER CRYPTO CASTLE IS WHERE ALL NEWS AND INFORMATION ABOUT THE CRYPTO WORLD IS UPDATED IN THE FASTEST WAY WHILE PROMOTING MANY POTENTIAL PROJECTS TO ITS COMMUNITY FITN FIFI E2E M2E,Twitter for iPhone,140,,,,False,True,0,,,Ro,positiva
923,275631336,2022-06-12 17:18:13,Dkell999,GET THE LATEST NEWS ABOUT FAIRPAYFORNURSING AND HAVE YOUR SAY IN CONSULTATIONS THAT AFFECT YOU MOST CHECK YOUR DETAILS ARE UP TO DATE IT TAKES LESS THAN A MINUTE TO ENSURE YOUR VOICE IS COUNTED,Twitter for iPhone,139,,,,False,True,0,,,Belfast ,positiva
924,1322350357381519872,2022-06-12 20:51:38,HimiHuskyme,ANVILGUY AMERICANAF5050 GRAHAMBSI BRADPRITCHARD I LOOK AT MANY CREDIBLE SOURCE NEWS AGENCIES REUTERS AP AS GENERALLY NOT BIASED NOT DODGY WEBSITES EITHER AMP OFTEN SOURCE REPORTS THEMSELVES I BRIEFLY WORKED FOR SKY INCLUDING WITHIN THE NEWS DEPARTMENT WHEN MUDOCH HAD FULL CONTROL OF IT AMP RAN IT LIKE FOX NEWS,Twitter for Android,277,1.53607446451285e+18,8.22820420831285e+17,anvilguy,False,False,1,,,"Canterbury, England",positiva
925,1672928202,2022-06-12 20:51:27,KimRansleben,BREAKING SENATE DEAL ON GUN REFORM EXPECTED TODAY LACALDWELLDC REPORTS MTP THIS IS BIG NEWS THAT A DEAL IS GOING TO BE ANNOUNCED TODAY,Twitter for iPhone,140,,,,False,True,0,,,"Temple, TX",negativa
926,49404155,2022-06-12 20:51:09,gnomoeoffice,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter for iPhone,139,,,,False,True,0,,,"Worthing, Sussex, Uk",positiva
927,58337417,2022-06-12 19:48:31,johndned,BREAKING SENATE DEAL ON GUN REFORM EXPECTED TODAY LACALDWELLDC REPORTS MTP THIS IS BIG NEWS THAT A DEAL IS GOING TO BE ANNOUNCED TODAY,Twitter for iPhone,140,,,,False,True,0,,,"Seattle, WA",negativa
928,1497878510978870016,2022-06-12 20:49:39,AlainClech,LAST MINUTE NEWS FROM DIRECT OFFICIAL STATEMENT ABOUT 500 CIVILIANS REMAIN ON THE TERRITORY OF THE AZOT PLANT IN SEVERODONETSK 40 OF THEM ARE CHILDREN SOMETIMES THE MILITARY MANAGES TO EVACUATE SOMEONE OF THEM LETS HOPE A BRIDGE WILL STILL STAND,Twitter for iPhone,140,,,,False,True,0,,,"Ile-de-France, France",neutral/SI
929,1084627640,2022-06-12 20:49:16,cbashley24,GLENNJACOBSTN ITS GOOD THAT THEY GAVE RESPONSIBLE GUN OWNERS A WHOLE DAY WONDER HOW MANY BREAKING NEWS REPORTS IM GONNA SEE THAT NIGHT,Twitter for iPhone,123,1.53536561647922e+18,7.34096443561148e+17,GlennJacobsTN,False,False,0,,,,positiva
930,1519091687888489984,2022-06-12 20:48:58,Follow3T3Rabbit,JOHNGRAVINO ABC THE NEWS REPORTS,Twitter for Android,17,1.53608682309248e+18,4862131305.0,john_gravino,False,False,0,,,,neutral/SI
931,1536084157931330048,2022-06-12 20:48:12,EricaPais8,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for Android,112,,,,False,True,0,,,,negativa
932,1111290178616940032,2022-06-12 20:48:02,signsaresaying,DARBYTL LEDGECOUNTERS LUKASZUKAB CANADIANINAB YES GREAT POINT MEDIA GIVING PP A PASS IS AN ANNOUNCEMENT THAT OUR DEMOCRACY IS HUGELY THREATENEDOUR FIRST LINE OF DEFENCE IS NO LONGER A FREE PRESS RW POPULISM IS SOFT FASCISM IT USES EXCLUSIONARY LANGUAGE OF US VS THEM RW NEWS MEDIA US LIBLEFT CDNS THEM,Twitter for iPhone,279,1.53606825992928e+18,282164421.0,darbyTL,False,False,3,,,Treaty One <U+0001F1E8><U+0001F1E6> Turtle Island,positiva
933,1335239062664349952,2022-06-12 20:47:51,0109uta_M,YOU KNOW WHAT IM STILL EXCITED WITH P3PSP P4G AMP P5R PORTS ON XBOX AMP WINDOWS PC CAN I BUY IT NO BUT I HOPE SO IN THE FUTURE THE JP SIDE DIDNT TWEET ANY NEWS OF IT MAYBE THEYLL ANNOUNCED IT ON JUNE ANNOUNCEMENT,Twitter for Android,234,,,,False,False,0,,,,positiva
934,1189627385068450048,2022-06-12 20:47:30,iamoviee,INVISITHOT NAH ITS FAKE NEWS EVERY DAY EVERY HOUR EVERY MINUTE EVERY SECOND,Twitter for iPhone,65,1.53608766328719e+18,1.19364143054525e+18,invisithot,False,False,1,,,"Portland, OR",negativa
935,20379610,2022-06-12 20:46:46,Skimmer90,TIMRUNSHISMOUTH BUT BE IT RBG SOTOMAYOR KAGAN OR STEPHENS EVERY MINUTE OF NEWS BROADCAST AIR TIME WOULD BE DEDICATED TO IT HELL THEYD PROBABLY BE RUSHING LEGISLATION AND FUNDING FOR MORE SECURITY THROUGH CONGRESS,Twitter for Android,205,1.53597097961627e+18,34367582.0,TimRunsHisMouth,False,False,0,,,Georgia (USA),positiva
936,808097827,2022-06-12 20:45:39,jcasas8512,MEDIA SCHOLZ MACRON DRAGHI TO MEET ZELENSKY IN KYIV AHEAD OF G7 SUMMIT GERMAN NEWS OUTLET BILD REPORTS THAT GERMAN CHANCELLOR OLAF SCHOLZ FRENCH PRESIDENT EMMANUEL MACRON AND ITALIAN PRIME MINISTER MARIO DRAGHI PLAN TO COME TO KYIV BEFORE THE G7 SUMMIT ON JUNE 2628,Twitter for Android,140,,,,False,True,0,,,,neutral/SI
937,898593187,2022-06-12 20:45:39,baldanadamm,GOOD DAY BUDS NEW PROJECT ON THE MARKET PLEASE CHECK ANNOUNCEMENT FOR GREAT NEWS COMING SOON FURTHER INFORMATION WILL BE AVAILABLE SOON STAY TUNED,Twitter Web App,140,,,,False,True,0,,,"Izmit, Kocaeli",positiva
938,29390578,2022-06-12 20:45:31,KathieDakhil,HI HALLMARKCHANNEL WE HEARTIES ARE STILL PATIENTLY WAITING FOR THE SEASON 10 ANNOUNCEMENT I REALLY MISS THIS LITTLE BOY HOPEFULLY WELL HEAR THE GOOD NEWS SOON ALLINFORSEASON10 LUCABETH WEAREHOPEVALLEY WCTH,Twitter for iPhone,139,,,,False,True,0,,,,positiva
939,1485878344948320000,2022-06-12 20:44:51,LavondaBonin,ELI10ALEX HMMM VERY INTERESTING AND THANKS BUT WONDERING WHY NEWS MEDIA HASNT JUMPED ALL OVER HIS CONFESSION LIKE THEY DID THE 2272022 ANNOUNCEMENT,Twitter for iPhone,146,1.53593557588218e+18,784182842.0,Eli10Alex,False,False,0,,,,positiva
940,1431382188885479936,2022-06-12 20:44:10,artio_Mcdougal,YK WHY EVERYONE LOVES NINTENDO DIRECTS BECAUSE EACH GAME IS ITS OWN ASS SECTION THEY DONT LINGER ON SHIT FOR TOO LONG THEY ANNOUNCE GIVE NEWS MAYBE ONE OR TWO DEV COMMENTS AND BOUNCE I HATE WATCHING OTHER GAME ANNOUNCEMENT SHOWS CUZ NIGGAS TALK TO MUCH,Twitter Web App,140,,,,False,True,0,,,,negativa
941,1200856093074840064,2022-06-12 20:43:48,JuliaAmon4,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for iPhone,112,,,,False,True,0,,,,negativa
942,1283715408311320064,2022-06-12 20:41:38,emcaher,I MISS WAKING UP TO SOME DOPE BAM NEWSANNOUNCEMENT HES BEEN MIA,Twitter for iPhone,66,,,,False,False,3,,,,neutral/SI
943,22252699,2022-06-12 20:41:22,kingstonist,THANKS FOR FOLLOWING ALONG THIS WEEK DID OUR COVERAGE HELPINFORM YOU IF YOU HAVENT ALREADY PLEASE TAKE A MINUTE AND CONSIDER HELPING US TO KEEP DOING IT ITS LESS THAN 8MONTH TO SUPPORT 100 LOCAL NEWS YGK,Twitter for iPhone,241,,,,False,False,11,,,"Kingston, ON",positiva
944,1415234250392150016,2022-06-12 20:40:06,jojoabab1,VTRCNR LEANKILLEN FDAONCOLOGY I KNOW WHAT I KNOW SORRY I DONT FOLLOW YOUR REASONING THEY HAVE NOT CLOSED ANY SHORT POSITION IN THE PAST FOR ANY OTHER BIG ANNOUNCEMENT UNLESS IT HAS BEEN AN ANNOUNCEMENT WITH GOOD NEWS THE DATES ARE 8TH JUNE AND 23RD JUNE LETS STOP ADDING NEW THINGS TO FDAONCOLOGY,Twitter Web App,277,1.5360608211215e+18,7.13734399104253e+17,vtrcnr,False,False,0,,,,positiva
945,1272094428979569920,2022-06-12 19:40:05,TTReportsNews,NEWS FROM THE TIME REPORTSTHE ART WORLD LOVES BASKETBALLS AND HOOPS AND JERSEYS AND BACKBOARDS THETIMEREPORTS NEWS WORLD BUSINESS SPORTS TOPSTORIES BREAKINGNEWS ENTERTAINMENT TECHNOLOGY TWITTERNEWS TRENDING VIRALNEWS,IFTTT,255,,,,False,False,0,,,India,neutral/SI
946,1272094428979569920,2022-06-12 18:39:59,TTReportsNews,NEWS FROM THE TIME REPORTSTONY AWARD WINNERS 2022 UPDATING LIST THETIMEREPORTS NEWS WORLD BUSINESS SPORTS TOPSTORIES BREAKINGNEWS ENTERTAINMENT TECHNOLOGY TWITTERNEWS TRENDING VIRALNEWS,IFTTT,223,,,,False,False,0,,,India,neutral/SI
947,1272094428979569920,2022-06-12 18:40:01,TTReportsNews,NEWS FROM THE TIME REPORTSMEET THE TIMESS NEW CHESS COLUMNIST THETIMEREPORTS NEWS WORLD BUSINESS SPORTS TOPSTORIES BREAKINGNEWS ENTERTAINMENT TECHNOLOGY TWITTERNEWS TRENDING VIRALNEWS,IFTTT,221,,,,False,False,0,,,India,positiva
948,1272094428979569920,2022-06-12 20:40:03,TTReportsNews,NEWS FROM THE TIME REPORTSRECORDS FOR HIGH TEMPERATURES SET AS HEAT WARNINGS PERSIST IN SOUTHWEST THETIMEREPORTS NEWS WORLD BUSINESS SPORTS TOPSTORIES BREAKINGNEWS ENTERTAINMENT TECHNOLOGY TWITTERNEWS TRENDING VIRALNEWS,IFTTT,256,,,,False,False,0,,,India,positiva
