"newdata.user_id","newdata.created_at","newdata.screen_name","newdata.text","newdata.source","newdata.display_text_width","newdata.reply_to_status_id","newdata.reply_to_user_id","newdata.reply_to_screen_name","newdata.is_quote","newdata.is_retweet","newdata.favorite_count","newdata.quote_count","newdata.reply_count","newdata.location"
"355057966",2022-06-13 05:55:28,"Nini67580","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"<U+03C1>a<U+0455>-<U+2202><U+0454>-¢ala<U+03B9><U+0455>"
"909100971934060544",2022-06-13 05:53:50,"verhelpen2","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Bruxelles"
"1510553731825549312",2022-06-13 05:53:17,"berryberryco25","WE ARE GLAD TO ANNOUNCE OUR COLLABORATION WITH TUZANYESPORTS WE WILL HAVE SOME OTHER NEWS COMING FOR YOU GUYS THIS WEEK SO KEEP AN EYE OUT FOR MORE ANNOUNCEMENTS READ MORE","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"2965539251",2022-06-13 05:53:12,"billsofcost","THOMSON REUTERS PUTS CASELINES SUBCONTRACT ON HOLD FOLLOWING NEWS REPORTS","Twitter for iPhone",97,NA,NA,NA,FALSE,FALSE,0,NA,NA,"South Africa"
"1476587618452262917",2022-06-13 05:53:06,"Lahmy23","WE ARE GLAD TO ANNOUNCE OUR COLLABORATION WITH TUZANYESPORTS WE WILL HAVE SOME OTHER NEWS COMING FOR YOU GUYS THIS WEEK SO KEEP AN EYE OUT FOR MORE ANNOUNCEMENTS READ MORE","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"3364605647",2022-06-13 05:52:25,"SjokerG","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter Web App",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1452142844374929409",2022-06-13 04:32:45,"CryptowithR","A MINUTE WITH EPNS WEEK 86 NOTIFICATIONS THROUGH SUBGRAPHS WALLET TO WALLET UPDATES MORE FRENS AMP MORE CHANNELS LIVE AND MORE A ROUNDUP OF EPNS NEWS IN LESS THAN A MINUTE PROJECT UPDATES DEVELOPMENTWEB SOCKETS ARE LIVE IN A STAGING ENVIRONMENT","Twitter for Android",269,NA,NA,NA,FALSE,FALSE,1,NA,NA,""
"1452142844374929409",2022-06-13 05:51:14,"CryptowithR","A MINUTE WITH EPNS WEEK 86 NOTIFICATIONS THROUGH SUBGRAPHS WALLET TO WALLET UPDATES MORE FRENS AMP MORE CHANNELS LIVE AND MORE A ROUNDUP OF EPNS NEWS IN LESS THAN A MINUTE PROJECT UPDATES DEVELOPMENTWEB SOCKETS ARE LIVE IN A STAGING ENVIRONMENT","Twitter for Android",144,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"780794427350540288",2022-06-13 05:50:54,"vince505050","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter Web App",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Portugal Barrancos (Béja)"
"1534562753998094336",2022-06-13 05:50:50,"KPAOJTqdrzMtdp8","NUPURSHARMA PAKISTAN FAKENEWS","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1109826895124811779",2022-06-13 05:49:08,"KhashanePalesa","THOMSON REUTERS PUTS CASELINES SUBCONTRACT ON HOLD FOLLOWING NEWS REPORTS VIA NEWS24","Twitter for iPhone",129,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Johannesburg, South Africa"
"1511137174766309382",2022-06-13 05:49:04,"Jobertgzmn","WE ARE GLAD TO ANNOUNCE OUR COLLABORATION WITH TUZANYESPORTS WE WILL HAVE SOME OTHER NEWS COMING FOR YOU GUYS THIS WEEK SO KEEP AN EYE OUT FOR MORE ANNOUNCEMENTS READ MORE","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1502863211338801153",2022-06-13 05:48:35,"Latha9731","AS PERREPORTS A LARGE NUMBER OF DEVOTEES GATHERED IN THE TEMPLE WHEN THE NEWS OF DESECRATION SPREAD IN THE AREA RECLAIMTEMPLE","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1361377617748844551",2022-06-13 05:48:33,"William85837998","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1509709885654843393",2022-06-13 05:47:59,"keonna_ponce","WE ARE GLAD TO ANNOUNCE OUR COLLABORATION WITH TUZANYESPORTS WE WILL HAVE SOME OTHER NEWS COMING FOR YOU GUYS THIS WEEK SO KEEP AN EYE OUT FOR MORE ANNOUNCEMENTS READ MORE","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1464153315256774660",2022-06-13 05:46:44,"brantley_jonnie","DRADAMANEEVIT THE JAB WASNT A TRUE VACCINATION BY DEFINITION BY SCIENCE THATS WHY FAUCI WAS TRYING TO CHANGE THE DEFINITION OF VACCINATION GOOGLE IT SHOULD BE SEVERAL NEWS REPORTS","Twitter for iPhone",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"4709187323",2022-06-13 05:46:21,"MinnakPeri1","PARTNERSHIP ANNOUNCEMENT WELCOME CRYPTOCASTLEANN HAS JOINED US AS A MEDIA PARTNER CRYPTO CASTLE IS WHERE ALL NEWS AND INFORMATION ABOUT THE CRYPTO WORLD IS UPDATED IN THE FASTEST WAY WHILE PROMOTING MANY POTENTIAL PROJECTS TO ITS COMMUNITY FITN FIFI E2E M2E","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Istanbul, Türkiye"
"3151268330",2022-06-13 05:45:05,"ken_hashirama","BIG ANNOUNCEMENT CANDELA SOLAR PANELS HAVE HIT STORES ACROSS THE WORLD THIS IS ONE OF MANY WE ARE ON MANY SITES AND DISTRIBUTORS EVERYWHERE WE WILL CONTINUE TO POST MORE LINKS THIS WEEKEND THIS IS A BIG MILESTONE AND WE HAVE EVEN BIGGER NEWS COMING LATER THIS WEEK","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Banjarmasin"
"77696645",2022-06-13 05:45:00,"dailystarnews","THE DETECTIVES ARE IN THE PROCESS OF APPREHENDING THEM AND REFERRING THEM TO DEPORTATION CENTRE FROM WHERE THEY WILL BE DEPORTED TO THEIR RESPECTIVE COUNTRIES AND BARRED FROM ENTERING KUWAIT AGAIN REPORTS KUWAITI NEWSPAPER AL RAI KUWAIT MIGRANTS","Twitter Web App",274,NA,NA,NA,FALSE,FALSE,4,NA,NA,"Bangladesh"
"1099735064710127616",2022-06-13 05:44:10,"DimaPet5","DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE","Twitter for Android",112,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Poland"
"1854347438",2022-06-13 05:43:52,"CoconutsHK","A LOCAL NEWS SITE REPORTS THAT ONE OF THOSE WHO ATTACKED THE GIRL CLAIMS LINKS WITH A TRIAD GROUP","Twitter Web App",122,NA,NA,NA,FALSE,FALSE,0,NA,NA,"Hong Kong"
"1363090047550054404",2022-06-13 05:42:34,"Vakaikiva","IN SOUTH AFRICA THEY HAVE SABC A NATIONAL TREASURE IT REPORTS GENUINE NEWS AMP PROVIDES FAIR COVERAGE TO ALL SOUTH AFRICANS DESPITE POLITICAL AFFILIATION IN ZIMBABWE WE HAVE ZBC A NATIONAL SHAME IT REPORTS BIASED NEWS A FAKE NEWS PEDDLER AMP A PROPAGANDA MOUTHPIECE","Twitter for Android",144,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1415547559045746689",2022-06-13 05:41:49,"JeanineJoris","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter Web App",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Bruxelles"
